Player,Draft,Drafted,League,Birth Year,Age In Draft Yr,Listed Height,Height (in),GP,GS,MIN,PTS,FGM,FGA,FG%,ThreePtMade,ThreePtAttempts,ThreePtPercentage,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S,PPR,PPS,ORtg,DRtg,PER
Jusuf Nurkić,2014,1,ABA,1994,20,7-0,84,28,1,16.60,11.68,3.82,7.07,0.54,0.04,0.25,0.14,3.93,5.61,0.70,2.71,2.96,5.68,0.71,1.07,0.82,1.64,3.18,0.61,0.54,20.52,22.61,21.56,9.83,14.69,3.77,6.14,32.99,138.39,-7.09,1.65,117.50,91.20,34.58
Bruno Caboclo,2014,1,Brazil,1995,19,6-9,81,17,5,13.20,4.76,1.53,3.29,0.46,0.41,1.35,0.30,1.29,1.76,0.73,0.71,2.35,3.06,0.18,0.41,0.82,1.24,1.06,0.59,0.53,7.66,21.25,15.07,2.22,23.28,1.65,6.34,19.26,150.20,-8.15,1.45,97.40,104.40,12.95
Clint Capela,2014,1,France,1994,20,6-10,82,33,23,22.00,9.39,4.00,6.33,0.63,0.00,0.03,0.00,1.39,2.39,0.58,2.36,4.55,6.91,1.24,0.82,1.52,1.52,2.30,0.64,0.63,14.07,26.18,20.23,10.00,17.02,2.08,7.22,19.27,121.39,-3.02,1.48,119.90,102.10,23.83
PJ Hairston,2014,1,G-League,1992,22,6-6,78,26,15,32.30,21.77,7.04,15.54,0.45,2.81,7.85,0.36,4.88,5.62,0.87,1.23,2.23,3.46,0.81,1.50,0.38,1.77,2.73,0.60,0.54,4.09,7.23,5.68,3.90,8.95,2.19,0.96,25.13,168.07,-3.78,1.40,118.40,115.60,18.27
Bogdan Bogdanović,2014,1,Euroleague,1993,21,6-6,78,23,18,31.40,14.78,5.09,12.91,0.39,2.17,5.87,0.37,2.26,3.00,0.75,0.74,2.96,3.70,3.65,1.57,0.22,3.39,2.61,0.52,0.48,3.16,12.43,7.83,24.57,19.24,2.95,0.81,28.02,151.79,-3.13,1.14,99.40,110.20,15.49
Damien Inglis,2014,1,France,1995,19,6-8,80,27,8,15.30,4.56,1.67,3.37,0.50,0.44,1.15,0.39,0.78,1.07,0.72,0.67,2.89,3.56,1.00,0.59,0.15,1.19,1.19,0.59,0.56,5.84,23.91,15.14,12.51,23.57,2.28,1.07,17.25,160.57,-3.45,1.35,101.40,104.20,14.35
Nikola Jokić,2014,1,ABA,1995,19,7-0,84,24,23,30.50,15.42,6.00,11.92,0.50,1.50,4.33,0.35,1.92,2.88,0.67,2.46,6.79,9.25,3.50,1.54,0.92,2.29,3.17,0.59,0.57,9.14,24.32,16.88,20.31,14.81,2.63,2.87,22.69,151.63,0.13,1.29,114.60,100.50,24.02
Walter Tavares,2014,1,Spain,1992,22,7-3,87,35,17,21.20,6.03,2.46,4.20,0.59,0.00,0.06,0.00,1.11,1.54,0.72,2.26,4.51,6.77,0.26,0.54,1.51,0.80,2.69,0.62,0.59,13.91,25.11,19.80,2.19,14.09,1.48,7.34,13.39,130.73,-3.06,1.44,122.60,95.70,18.33
Thanasis Antetokounmpo,2014,1,G-League,1992,22,6-7,79,50,42,29.30,12.02,4.28,9.10,0.47,1.10,3.56,0.31,2.36,3.56,0.66,1.66,2.60,4.26,2.12,1.16,1.30,2.30,2.94,0.56,0.53,6.04,9.41,7.73,10.56,17.74,1.82,3.38,17.88,144.22,-2.91,1.32,105.30,111.40,12.94
Vasilije Micić,2014,1,ABA,1994,20,6-5,77,26,24,30.10,11.62,4.15,9.04,0.46,0.85,2.92,0.29,2.31,3.31,0.70,0.65,2.38,3.04,5.62,1.69,0.00,3.50,2.96,0.55,0.51,2.74,9.20,6.10,32.43,25.01,3.08,0.00,21.48,144.67,0.76,1.29,101.20,110.80,15.08
